WOJ;POW;GMI;RODZ_GMI;SYM;SYM_UL;CECHA;NAZWA_1;NAZWA_2;STAN_NA
02;01;01;1;0935989;00692;ul.;Bankowa;;2026-05-29
02;01;01;1;0935989;01637;ul.;Bohaterów Getta;;2026-05-29
02;01;01;1;0935989;02276;ul.;Brzozowa;;2026-05-29
02;01;01;1;0935989;02629;ul.;Ceramiczna;;2026-05-29
02;01;01;1;0935989;03098;ul.;Cisowa;;2026-05-29
02;01;01;1;0935989;03811;ul.;Dębowa;;2026-05-29
02;01;01;1;0935989;05345;ul.;Garncarska;;2026-05-29
02;01;01;1;0935989;06825;ul.;Hutnicza;;2026-05-29
02;01;01;1;0935989;06934;ul.;Irysów;;2026-05-29
02;01;01;1;0935989;07123;ul.;Jana Pawła II;;2026-05-29
02;01;01;1;0935989;07380;ul.;Jaśminowa;;2026-05-29
02;01;01;1;0935989;08042;ul.;Karkonoska;;2026-05-29
02;01;01;1;0935989;09282;ul.;Kopernika;Mikołaja;2026-05-29
02;01;01;1;0935989;09546;ul.;Kościelna;;2026-05-29
02;01;01;1;0935989;10509;ul.;Kutuzowa;Michała;2026-05-29
02;01;01;1;0935989;12446;ul.;Masarska;;2026-05-29
02;01;01;1;0935989;12589;ul.;Meissnera;Janusza;2026-05-29
02;01;01;1;0935989;14618;ul.;Obrońców Helu;;2026-05-29
02;01;01;1;0935989;14914;ul.;Okrzei;Stefana;2026-05-29
02;01;01;1;0935989;15778;ul.;Pasteura;Ludwika;2026-05-29
02;01;01;1;0935989;16033;ul.;Piaskowa;;2026-05-29
02;01;01;1;0935989;17577;ul.;Prusa;Bolesława;2026-05-29
02;01;01;1;0935989;19404;ul.;Sadowa;;2026-05-29
02;01;01;1;0935989;20427;ul.;Jana Sobieskiego;;2026-05-29
02;01;01;1;0935989;20641;ul.;Spacerowa;;2026-05-29
02;01;01;1;0935989;20677;ul.;Spokojna;;2026-05-29
02;01;01;1;0935989;22965;ul.;Traugutta;Romualda;2026-05-29
02;01;01;1;0935989;23260;ul.;Tyrankiewiczów;Heleny i Wincentego;2026-05-29
02;01;01;1;0935989;23620;ul.;Wańkowicza;Melchiora;2026-05-29
02;01;01;1;0935989;24170;ul.;Wierzbowa;;2026-05-29
02;01;01;1;0935989;24317;ul.;Willowa;;2026-05-29
02;01;02;2;0189138;02264;ul.;Brzoskwiniowa;;2026-05-29
02;01;02;2;0189138;02276;ul.;Brzozowa;;2026-05-29
02;01;02;2;0189138;03191;ul.;Cyprysowa;;2026-05-29
02;01;02;2;0189138;03811;ul.;Dębowa;;2026-05-29
02;01;02;2;0189138;07380;ul.;Jaśminowa;;2026-05-29
02;01;02;2;0189138;10870;ul.;Leszczynowa;;2026-05-29
02;01;02;2;0189138;13311;ul.;Morwowa;;2026-05-29
02;01;02;2;0189138;22003;ul.;Szmaragdowa;;2026-05-29
02;01;02;2;0189138;24170;ul.;Wierzbowa;;2026-05-29
02;01;02;2;0189322;02276;ul.;Brzozowa;;2026-05-29
02;01;02;2;0189322;09546;ul.;Kościelna;;2026-05-29
02;01;02;2;0189322;20641;ul.;Spacerowa;;2026-05-29
02;01;02;2;0189322;21271;ul.;Strażacka;;2026-05-29
02;01;03;2;0364140;03811;ul.;Dębowa;;2026-05-29
02;01;03;2;0364140;07380;ul.;Jaśminowa;;2026-05-29
02;01;03;2;0364140;20677;ul.;Spokojna;;2026-05-29
02;01;04;4;0936262;02276;ul.;Brzozowa;;2026-05-29
02;01;04;4;0936262;05345;ul.;Garncarska;;2026-05-29
02;01;04;4;0936262;06600;ul.;Henryka Brodatego;;2026-05-29
02;01;04;4;0936262;09282;ul.;Kopernika;Mikołaja;2026-05-29
02;01;04;4;0936262;09546;ul.;Kościelna;;2026-05-29
02;01;04;5;0191543;02276;ul.;Brzozowa;;2026-05-29
02;01;04;5;0191543;03098;ul.;Cisowa;;2026-05-29
02;01;04;5;0191543;03811;ul.;Dębowa;;2026-05-29
02;01;04;5;0191589;09282;ul.;Kopernika;Mikołaja;2026-05-29
02;01;05;2;0191780;02276;ul.;Brzozowa;;2026-05-29
02;01;05;2;0191780;03811;ul.;Dębowa;;2026-05-29
02;01;05;2;0191780;07380;ul.;Jaśminowa;;2026-05-29
02;01;05;2;0191780;13665;ul.;Na Skarpie;;2026-05-29
02;01;05;2;0191780;16033;ul.;Piaskowa;;2026-05-29
02;01;05;2;0191780;20641;ul.;Spacerowa;;2026-05-29
02;01;05;2;0191780;20677;ul.;Spokojna;;2026-05-29
02;01;05;2;0191833;02276;ul.;Brzozowa;;2026-05-29
02;01;05;2;0191833;03811;ul.;Dębowa;;2026-05-29
02;01;05;2;0191833;06815;ul.;Husarska;;2026-05-29
02;01;05;2;0191833;07380;ul.;Jaśminowa;;2026-05-29
02;01;05;2;0191833;09546;ul.;Kościelna;;2026-05-29
02;01;05;2;0191833;22098;ul.;Sztabowa;;2026-05-29
02;02;01;1;0983818;00692;ul.;Bankowa;;2026-05-29
02;02;01;1;0983818;01637;ul.;Bohaterów Getta;;2026-05-29
02;02;01;1;0983818;02276;ul.;Brzozowa;;2026-05-29
02;02;01;1;0983818;02587;ul.;Ceglana;;2026-05-29
02;02;01;1;0983818;06507;ul.;Handlowa;;2026-05-29
02;02;01;1;0983818;09282;ul.;Kopernika;Mikołaja;2026-05-29
02;02;01;1;0983818;15360;ul.;Ostatnia;;2026-05-29
02;02;01;1;0983818;17577;ul.;Prusa;Bolesława;2026-05-29
02;02;01;1;0983818;21271;ul.;Strażacka;;2026-05-29
02;02;01;1;0983818;24317;ul.;Willowa;;2026-05-29
02;02;01;1;0983818;24364;ul.;Wiosenna;;2026-05-29
02;02;01;1;0983818;24540;ul.;Włókniarzy;;2026-05-29
02;02;02;1;0983988;01637;ul.;Bohaterów Getta;;2026-05-29
02;02;02;1;0983988;02229;ul.;Brzegowa;;2026-05-29
02;02;02;1;0983988;02264;ul.;Brzoskwiniowa;;2026-05-29
02;02;02;1;0983988;02276;ul.;Brzozowa;;2026-05-29
02;02;02;1;0983988;03034;ul.;Ciepłownicza;;2026-05-29
02;02;02;1;0983988;03098;ul.;Cisowa;;2026-05-29
02;02;02;1;0983988;03811;ul.;Dębowa;;2026-05-29
02;02;02;1;0983988;05345;ul.;Garncarska;;2026-05-29
02;02;02;1;0983988;07380;ul.;Jaśminowa;;2026-05-29
02;02;02;1;0983988;09282;ul.;Kopernika;Mikołaja;2026-05-29
02;02;02;1;0983988;09546;ul.;Kościelna;;2026-05-29
02;02;02;1;0983988;10870;ul.;Leszczynowa;;2026-05-29
02;02;02;1;0983988;14914;ul.;Okrzei;Stefana;2026-05-29
02;02;02;1;0983988;16033;ul.;Piaskowa;;2026-05-29
02;02;02;1;0983988;16166;ul.;Pieszycka;;2026-05-29
02;02;02;1;0983988;16880;ul.;Podwalna;;2026-05-29
02;02;02;1;0983988;17577;ul.;Prusa;Bolesława;2026-05-29
02;02;02;1;0983988;18296;ul.;Radiowców;;2026-05-29
02;02;02;1;0983988;20641;ul.;Spacerowa;;2026-05-29
02;02;02;1;0983988;20677;ul.;Spokojna;;2026-05-29
02;02;02;1;0983988;24170;ul.;Wierzbowa;;2026-05-29
02;02;02;1;0983988;24364;ul.;Wiosenna;;2026-05-29
02;02;04;1;0984491;01637;ul.;Bohaterów Getta;;2026-05-29
02;02;04;1;0984491;03570;ul.;Dalsza;;2026-05-29
02;02;04;1;0984491;14914;ul.;Okrzei;Stefana;2026-05-29
02;02;04;1;0984491;27302;pl.;Piastów Śląskich;;2026-05-29
02;02;05;2;0852163;09546;ul.;Kościelna;;2026-05-29
02;02;05;2;0852163;09572;ul.;Kościuszki;;2026-05-29
02;02;05;2;0852246;09546;ul.;Kościelna;;2026-05-29
02;02;05;2;0852246;24170;ul.;Wierzbowa;;2026-05-29
02;02;05;2;0852306;20641;ul.;Spacerowa;;2026-05-29
02;02;05;2;0852370;01144;os.;Białe;;2026-05-29
02;02;05;2;0852370;09546;ul.;Kościelna;;2026-05-29
02;02;05;2;0852370;25007;ul.;Wylotowa;;2026-05-29
02;02;06;2;0876749;24170;ul.;Wierzbowa;;2026-05-29
02;02;06;2;0876778;09546;ul.;Kościelna;;2026-05-29
02;02;06;2;0876778;20677;ul.;Spokojna;;2026-05-29
02;02;07;4;0984232;03811;ul.;Dębowa;;2026-05-29
02;02;07;4;0984232;06372;ul.;Gumińska;;2026-05-29
02;02;07;4;0984232;14914;ul.;Okrzei;Stefana;2026-05-29
02;02;07;4;0984232;21027;ul.;Stary Plac;;2026-05-29
02;02;07;4;0984232;21881;ul.;Szczytna;;2026-05-29
02;02;07;4;0984232;24364;ul.;Wiosenna;;2026-05-29
02;02;07;5;0853961;19404;ul.;Sadowa;;2026-05-29
02;02;07;5;0853961;20641;ul.;Spacerowa;;2026-05-29
